district_name,est_child_poverty,est_total_child,est_total_pop,year,child_pov_ratio,child_adult_ratio
Cheyenne County School District RE-5,39,229,1350,2010,0.1703056768558952,0.16962962962962963
Yuma School District 1,179,977,5017,2010,0.18321392016376664,0.19473789117002194
Wray School District RD-2,103,727,3958,2010,0.14167812929848694,0.18367862556846892
Idalia School District RJ-3,12,92,502,2010,0.13043478260869565,0.18326693227091634
Liberty School District J-4,7,69,507,2010,0.10144927536231885,0.13609467455621302
Academy School District 20,1251,21743,98451,2010,0.05753575863496298,0.22085098170663578
Adams County School District 14,1910,8238,36636,2010,0.23185239135712551,0.22486079266295447
Agate School District 300,19,108,664,2010,0.17592592592592593,0.16265060240963855
Aguilar Reorganized School District 6,68,164,1166,2010,0.4146341463414634,0.14065180102915953
Akron School District R-1,68,402,2447,2010,0.1691542288557214,0.16428279525950143
Alamosa School District RE-11J,705,2419,14365,2010,0.2914427449359239,0.1683954054994779
South Conejos School District RE-10,139,363,2250,2010,0.38292011019283745,0.16133333333333333
Archuleta County School District 50-JT,372,1718,11506,2010,0.21653084982537835,0.14931340170345905
Arickaree School District R-2,20,120,628,2010,0.16666666666666666,0.1910828025477707
Arriba-Flagler School District C-20,36,160,1142,2010,0.225,0.14010507880910683
Aspen School District 1,104,1676,13026,2010,0.06205250596658711,0.12866574543221249
Ault-Highland School District RE-9,168,1094,5620,2010,0.15356489945155394,0.19466192170818505
Adams-Arapahoe School District 28J,9251,39607,207500,2010,0.23356982351604513,0.19087710843373493
Platte Canyon School District 1,141,1498,9276,2010,0.09412550066755675,0.1614920224234584
Bayfield School District R-10-JT,121,1481,8472,2010,0.08170155300472653,0.17481114258734656
Bennett School District 29-J,90,1289,6234,2010,0.06982156710628394,0.2067693294834777
Bethune School District R-5,25,119,534,2010,0.21008403361344538,0.22284644194756553
Boulder Valley School District RE-2,3182,30328,212662,2010,0.10491954629385386,0.14261127987134514
Branson Reorganized School District 82,13,34,172,2010,0.38235294117647056,0.19767441860465115
Briggsdale School District RE-10,23,119,619,2010,0.19327731092436976,0.19224555735056542
Brighton School District 27J,1594,16322,77909,2010,0.09765960053914961,0.20950082788894736
Brush School District RE-2J,222,1527,8124,2010,0.14538310412573674,0.1879615952732644
Buena Vista School District R-31,160,1008,8659,2010,0.15873015873015872,0.116410670978173
Burlington School District RE-6J,135,742,5193,2010,0.18194070080862534,0.1428846524167148
Byers School District 32J,66,517,2481,2010,0.1276595744680851,0.20838371624345023
Calhan School District RJ-1,94,634,3018,2010,0.14826498422712933,0.2100728959575878
Campo School District RE-6,5,34,254,2010,0.14705882352941177,0.13385826771653545
Cañon City School District RE-1,823,3945,27608,2010,0.20861850443599492,0.14289336424224863
Center School District 26-JT,239,693,3307,2010,0.3448773448773449,0.20955548835802842
Cheraw School District 31,36,139,746,2010,0.2589928057553957,0.1863270777479893
Cherry Creek School District 5,4695,54582,274870,2010,0.08601736836319666,0.19857387128460727
Cheyenne Mountain School District 12,264,3741,21499,2010,0.07056936647955092,0.174008093399693
Clear Creek School District RE-1,130,1137,9112,2010,0.11433597185576078,0.12478050921861282
Plateau Valley School District 50,72,397,2565,2010,0.181360201511335,0.15477582846003898
Colorado Springs School District 11,6681,35123,228901,2010,0.19021723656863024,0.15344188098785064
Montezuma-Cortez School District RE-1,843,3339,18575,2010,0.252470799640611,0.1797577388963661
Cotopaxi School District RE-3,43,290,2736,2010,0.1482758620689655,0.10599415204678363
Creede Consolidated School District 1,18,90,710,2010,0.2,0.1267605633802817
Cripple Creek-Victor School District RE-1,105,577,4825,2010,0.18197573656845753,0.11958549222797928
